uid,username,banned
1,sherl0k,0
2,VxJasonxV,0
3,Bakke,0
4,bacon,0
5,rabidkimba,0
6,Kenji,1
8,Kornfan,1
10,freem,0
14,redshoepaul,0
17,Draigun,0
18,lionsuki,1
20,duomaxwell,0
22,darktriad,0
23,tyam,0
26,gtc,0
29,MJAL,0
30,fredly,0
31,MKwiakaku,0
33,Miki,0
36,Dertunfisch,0
37,peemus,0
39,Rifted,0
45,Gosha,1
48,VivaldiAmuro,1
49,cmcm,0
51,Davyn,0
52,Felys,0
53,JustiNIC,0
54,Santiago22,0
55,chech,1
58,gogol,0
59,BabyRyoga,0
66,Asato,0
68,Bman,0
69,faliet,1
70,bbqtool,0
71,poopkiller,0
72,loosemind,0
73,kiavalk,1
74,asdf,1
76,arttq,0
77,twizted,0
81,akka,0
83,Malev,0
86,MAIcrosoft,0
87,al2k4,0
89,Chemistry,0
90,Raiden,0
93,xybur,0
96,jade,1
97,liquidus,0
98,MathmanZero,1
99,dogsandclogs,0
104,TBoneXZeo,0
114,Robo2001,0
116,jtrobot,0
117,Kalek,0
122,hata,0
123,Feathersword,0
126,Futomara,0
129,seiya,0
132,Asi9,0
137,Audity,1
139,Motoko,1
140,Sawao,1
144,soom,0
146,machineares,0
149,54q1,0
150,DooM,0
154,lowrida,0
156,RJWinks,0
163,ShotgunJesus,0
165,gdog66,0
169,Reenee,1
170,azmodius,0
171,VaderSeven,0
177,dgfx48,1
179,gigabyte,0
183,PooIs,0
185,BlownUpp,0
187,FreQ13,0
189,Jimbo22291,0
191,waxingandwanding,1
193,Vulc,1
196,Same,0
198,Philipio,0
201,blah,0
202,squirll,1
206,lalalanasty,0
208,originalz,1
212,ducky285,0
215,sage,0
220,yosh,1
237,brl4790,0
239,gabbah,0
250,TheWertle,0
255,Sephy,0
260,andyNumbers,0
264,mjt112,0
265,Azrael573,0
270,Fuchikoma,0
271,ch,0
273,krrs,0
277,iroha,0
281,Momo,0
284,UKN,1
286,thefantom,1
288,sephiroth702,0
289,DDRNemesis,0
290,Nifta,1
291,waynec02,0
292,billyjr82,0
297,masipah,1
299,grahams13,0
308,Opethian,0
313,fAcelEss,0
315,dumari,0
320,The8BitHero,0
322,end3r,0
324,djsyndrome,1
327,uhawww,0
333,VgameT,0
335,ahkem,0
344,OOLingo,0
348,Zephyr54,0
349,ncsbert,0
353,redstar918,0
356,Lunarius,0
359,Kenchan,0
360,yuuichi,0
361,TeamRagnarok,0
368,Anthony,1
375,jaite,0
378,khris,0
382,mappyman,0
384,dieKatze88,0
386,quijanoth,0
388,jnup86,0
397,abszero,1
398,Riskbreaker,0
404,tmkn,0
405,Jaymoh,0
407,Kulli,0
408,soilworker,0
411,sc2970,1
415,kevinddr,0
425,adamisaacddr,1
428,Luci,0
431,Souten,0
432,Juli,0
440,mistaFOO,0
441,rampage,0
442,pichivoice,0
447,pillowfight,1
457,zqfmbg,0
463,drano,0
469,Jooleeus,0
475,AniGamerSK,1
491,waveman,1
498,maniastyle,0
501,jthamexican,1
506,Blizzard185,0
515,Pirate515,0
516,derickyung,0
523,zxmn,1
527,warriorbob,1
533,Juju,0
538,Moffy,0
540,blackstar,0
552,dmt172,0
553,goobah,0
555,etherstyle,1
562,Scuba,1
564,Atalva,1
566,linclelinkpart5,0
574,Ingle,0
577,Dewgy,0
588,bemaniac,1
590,moomoo,0
592,frod,0
595,snapps,0
597,CorruptZero,0
613,venio,0
616,a121232,0
621,OPO9,0
625,thepizano,0
626,Apple,1
631,haunter,0
651,cstarflare,0
652,dirtybeatz,1
667,Kaioh85,0
672,apd,0
676,CSBrokaw,0
679,djmarkiidx,0
688,Atma,0
691,QQQ,0
692,ProfessaD,0
697,ShinStar,0
699,j00xman,0
700,CryptopsyBod,1
722,gaminginc,1
728,Polykarbon,0
735,Cricket311,1
744,kay0ss,0
745,MrGains,1
751,omg,0
